"","Adult_1","Adult_2","Adult_3","Fetal_1","Fetal_2","Fetal_3","Neonatal_1","Neonatal_2","Neonatal_3"
"Mrpl22",-0.0620323083281411,0.0578470031253984,0.379536561773771,0.167140789859259,0.0198789551606664,-0.366268027509422,-0.0896389234908863,-0.146719109481219,0.0402550588905743
"Igtp",1.3016879724742,1.16653856715826,0.837460112687144,-1.02321378659665,-1.09149908264472,-1.49952295304848,0.0719818186479033,0.0165093560869507,0.220057995235384
"Zfp692",0.325756022059139,0.576058788816728,0.516856577022153,-0.469200803238422,-0.0562345294050886,-0.516339611859938,-0.194193964602333,-0.117268295521905,-0.0654341832703338
"Zfp672",-0.340360359823245,0.0952887906656041,-0.151929834497452,0.0523717197279936,-0.0977072105105288,0.181403333075931,0.112593882817375,0.0341430858480098,0.114196592696313
"Sh3bp5l",-0.296194304150339,-0.28761455438196,-0.0814787150015306,0.0955250517764412,-0.147528612921824,0.401941049752776,0.164535999419264,0.00449934032224864,0.14631474518493
"LOC24906",3.98697677774507,4.30411372834267,4.45810433586456,-4.85856329234687,-4.85856329234687,-3.20744261877131,0.129323598799349,0.106167772268495,-0.0601170095550989
"Zfp39",-0.353671033381211,-0.407711649280273,-0.383683132043254,-0.102336418532044,0.00420075784538998,-0.00651938606244906,0.659997561669936,0.393156238202532,0.196567061581375
"Rnf187",0.142583869721959,0.109557305792647,0.251363834219905,-0.13425113082864,-0.199908559523465,-0.122736253723532,-0.00762829391543107,-0.0339682750444528,-0.00501249669898485
"Hist3h2a",0.311429828797446,0.534047087251303,0.421128883690589,-0.12669378738094,-0.28644178088617,-0.395853401783493,-0.17975549578231,-0.298252803679359,0.0203914697729357
"Trim11",0.359319335793638,0.50105907430547,0.214944209564429,0.044676602806538,-0.187845703405657,-0.479413268475542,-0.225441430046283,-0.130465475457333,-0.0968333450852592
"Iba57",0.119634014202528,-0.506768082844376,-0.456973600543549,0.480269836695373,0.407219032562649,0.476935611198059,-0.532053184207612,-0.0919004635286123,0.10363683646554
"Gjc2",2.14901018885186,1.93271372561326,1.2982787650406,-1.29086950736538,-2.13037356940593,-2.45667734972225,0.354743893323484,0.147974889061853,-0.00480103539749881
"Guk1",0.333171364056867,0.295936025209256,0.294458608434873,-0.0671462556138307,-0.136085267319454,-0.116778220224053,-0.146687758828583,-0.24644164295265,-0.210426852762423
"Mrpl55",0.352976860184559,0.277419859793786,0.389908865621615,-0.103046890006063,-0.382644227146138,0.281981271106648,-0.217708255818588,-0.269284887739016,-0.329602595996798
"RGD1304587",0.629088508070193,0.398132144939794,0.495260526922632,-0.338182100997848,-0.488849127389866,0.0921226769462336,-0.213809841224951,-0.356663731271223,-0.217099055994963
"Arf1",-0.316808430035049,-0.29974801367795,-0.227072781119035,0.144817319269131,0.126451235831543,0.284154203924829,0.160590038233356,0.0522156479454212,0.0754007796277607
"Wnt9a",-0.161243524014797,0.329194085405049,0.587823475812865,-0.568957302120898,-0.535563508465586,0.913367979919748,-0.48237234687078,-0.0172112028883409,-0.0650376567772595
"Snap47",0.423802260484254,0.0286420363904805,0.137132168020154,0.00605477868037774,-0.106647591789366,-0.544782670051942,0.118777604592937,-0.0269123312814306,-0.036066255045462
"Jmjd4",-0.587869561124893,-0.868312333753134,-0.317128978811684,0.278959036440274,0.410219201001115,1.281156938317,-0.121309918610768,0.292098615973732,-0.367812999431636
"Zfp867",0.0671279308612132,-0.449596255056393,-0.309762653278153,-0.115355588936864,0.231690923095293,0.336185458572718,0.0295627880626164,0.127818240546124,0.082329156133448
"Zfp496",-0.24362815962857,-0.32483836059227,-0.375288746373085,0.130219545635237,0.0946776968966017,0.00680670110418191,0.249748163353258,0.234793815919728,0.227509343684922
"Nlrp3",2.36324243019339,2.13055667319663,2.16460513020305,-0.969698174143793,-1.22846063061354,-0.837308988544456,-1.11761426460319,-1.38216142569294,-1.12316074999516
"Mprip",-0.553966019527877,-0.284533040928164,-0.27682490249213,0.034115450745583,0.0110468990460433,-0.175840578516885,0.428532657438026,0.414314627650308,0.403154906585099
"Flcn",0.627611167764449,0.705775307262959,0.704803603967062,-0.57533038289536,-0.616448697247429,-1.17092290363399,0.0964314118339447,0.150873384659834,0.0772071082885368
"Cops3",-0.39950035186109,-0.516673978143452,-0.282294152412123,0.273414532223774,0.338444653330681,0.213694784068952,0.172179617701065,0.129360365365539,0.0713745297266595
"Nt5m",-0.361769202823455,-0.139167809099018,0.42030322534369,0.32263875780613,-0.246989036080908,0.150878306169938,-0.307611656336404,-0.0706995245821947,0.232416939602223
"Med9",-0.23385888933691,-0.00715846517558383,0.275904085745702,0.0394593327039265,-0.0246453645771005,-0.00795512638699059,0.090003331306681,-0.151917561461981,0.0201686571822552
"Rasd1",3.37992303625613,2.62579366158588,2.31291136449156,-1.7188646913156,-2.33887689742216,0.238106777227675,-1.5755169486458,-1.64319031877822,-1.28028598339948
"Pemt",-0.274110482511483,-0.170240184172911,0.657939004762488,-0.132078464028754,-0.0152611276836083,0.274485901137703,0.013968279922699,-0.317614259624013,-0.0370886678021196
"Rai1",-0.433937725286585,-0.505037087746519,-0.699036371892173,0.323510733255318,0.321628138956498,0.194941345505249,0.233919127984792,0.318205498385304,0.245806340838117
"Srebf1",0.403866280501663,0.679533478625581,0.856249756020814,-0.347057088535562,-0.502788751977924,-0.852369701873884,-0.216233041140567,-0.0176016357903075,-0.00359929582980545
